Code,Trouble Code System,Condition Description
P222A,Powertrain,Barometric Pressure Sensor  - Circuit
P222B,Powertrain,Barometric Pressure Sensor  - Circuit Range/Performance
P222C,Powertrain,Barometric Pressure Sensor  - Circuit Low
P222D,Powertrain,Barometric Pressure Sensor  - Circuit High 
P222E,Powertrain,Barometric Pressure Sensor  - Circuit Intermittent/Erratic 
P222F,Powertrain,Barometric Pressure Sensor  - Correlation
P2230,Powertrain,Barometric Pressure Sensor  - Circuit Intermittent/Erratic
P2231,Powertrain,O2 Sensor Signal Circuit Shorted to Heater Circuit Bank 1 Sensor 1
P2232,Powertrain,O2 Sensor Signal Circuit Shorted to Heater Circuit Bank 1 Sensor 2
P2233,Powertrain,O2 Sensor Signal Circuit Shorted to Heater Circuit Bank 1 Sensor 3
P2234,Powertrain,O2 Sensor Signal Circuit Shorted to Heater Circuit Bank 2 Sensor 1
P2235,Powertrain,O2 Sensor Signal Circuit Shorted to Heater Circuit Bank 2 Sensor 2
P2236,Powertrain,O2 Sensor Signal Circuit Shorted to Heater Circuit Bank 2 Sensor 3
P2237,Powertrain,O2 Sensor Positive Current Control Circuit/Open Bank 1 Sensor 1
P2238,Powertrain,O2 Sensor Positive Current Control Circuit Low Bank 1 Sensor 1
P2239,Powertrain,O2 Sensor Positive Current Control Circuit High Bank 1 Sensor 1
P2240,Powertrain,O2 Sensor Positive Current Control Circuit/Open Bank 2 Sensor 1
P2241,Powertrain,O2 Sensor Positive Current Control Circuit Low Bank 2 Sensor 1
P2242,Powertrain,O2 Sensor Positive Current Control Circuit High Bank 2 Sensor 1
P2243,Powertrain,O2 Sensor Reference Voltage Circuit/Open Bank 1 Sensor 1
P2244,Powertrain,O2 Sensor Reference Voltage Performance Bank 1 Sensor 1
P2245,Powertrain,O2 Sensor Reference Voltage Circuit Low Bank 1 Sensor 1
P2246,Powertrain,O2 Sensor Reference Voltage Circuit High Bank 1 Sensor 1
P2247,Powertrain,O2 Sensor Reference Voltage Circuit/Open Bank 2 Sensor 1
P2248,Powertrain,O2 Sensor Reference Voltage Performance Bank 2 Sensor 1
P2249,Powertrain,O2 Sensor Reference Voltage Circuit Low Bank 2 Sensor 1
P2250,Powertrain,O2 Sensor Reference Voltage Circuit High Bank 2 Sensor 1
P2251,Powertrain,O2 Sensor Negative Current Control Circuit/Open Bank 1 Sensor 1
P2252,Powertrain,O2 Sensor Negative Current Control Circuit Low Bank 1 Sensor 1
P2253,Powertrain,O2 Sensor Negative Current Control Circuit High Bank 1 Sensor 1
P2254,Powertrain,O2 Sensor Negative Current Control Circuit/Open Bank 2 Sensor 1
P2255,Powertrain,O2 Sensor Negative Current Control Circuit Low Bank 2 Sensor 1
P2256,Powertrain,O2 Sensor Negative Current Control Circuit High Bank 2 Sensor 1
P2257,Powertrain,Secondary Air Injection System Control  - Circuit Low
P2258,Powertrain,Secondary Air Injection System Control  - Circuit High
P2259,Powertrain,Secondary Air Injection System Control  - Circuit Low
P2260,Powertrain,Secondary Air Injection System Control  - Circuit High
P2261,Powertrain,Turbocharger/Supercharger Bypass Valve - Mechanical 
P2262,Powertrain,Turbo/Super Charger Boost Pressure Not Detected – Mechanical
P2262,Powertrain,Turbocharger/Supercharger Boost Pressure Not Detected - Mechanical 
P2263,Powertrain,Turbocharger/Supercharger Boost System Performance
P2264,Powertrain,Water in Fuel Sensor Circuit
P2265,Powertrain,Water in Fuel Sensor Circuit Range/Performance
P2266,Powertrain,Water in Fuel Sensor Circuit Low
P2267,Powertrain,Water in Fuel Sensor Circuit High
P2268,Powertrain,Water in Fuel Sensor Circuit Intermittent
P2269,Powertrain,Water in Fuel Condition 
P226A,Powertrain,Water in Fuel Lamp Control Circuit 
P226B,Powertrain,Turbocharger/Supercharger Boost Pressure Too High - Mechanical
P2270,Powertrain,O2 Sensor Signal Biased/Stuck Lean Bank 1 Sensor 2
P2271,Powertrain,O2 Sensor Signal Biased/Stuck Rich Bank 1 Sensor 2
P2272,Powertrain,O2 Sensor Signal Biased/Stuck Lean Bank 2 Sensor 2
P2273,Powertrain,O2 Sensor Signal Biased/Stuck Rich Bank 2 Sensor 2
P2274,Powertrain,O2 Sensor Signal Biased/Stuck Lean Bank 1 Sensor 3
P2275,Powertrain,O2 Sensor Signal Biased/Stuck Rich Bank 1 Sensor 3
P2276,Powertrain,O2 Sensor Signal Biased/Stuck Lean Bank 2 Sensor 3
P2277,Powertrain,O2 Sensor Signal Biased/Stuck Rich Bank 2 Sensor 3
P2278,Powertrain,O2 Sensor Signals Swapped Bank 1 Sensor 3/Bank 2 Sensor 3
P2279,Powertrain,Intake Air System Leak 
P2280,Powertrain,Air Flow Restriction/Air Leak Between Air Filter and MAF
P2281,Powertrain,Air Leak Between MAF and Throttle Body
P2282,Powertrain,Air Leak Between Throttle Body and Intake Valves
P2283,Powertrain,Injector Control Pressure Sensor Circuit
P2284,Powertrain,Injector Control Pressure Sensor Circuit Range/Performance
P2285,Powertrain,Injector Control Pressure Sensor Circuit Low
P2286,Powertrain,Injector Control Pressure Sensor Circuit High
P2287,Powertrain,Injector Control Pressure Sensor Circuit Intermittent 
P2288,Powertrain,Injector Control Pressure Too High
P2289,Powertrain,Injector Control Pressure Too High - Engine Off
P228A,Powertrain,Fuel Pressure Regulator 1 - Forced Engine Shutdown
P228B,Powertrain,Fuel Pressure Regulator 2 - Forced Engine Shutdown
P228C,Powertrain,Fuel Pressure Regulator 1 Exceeded Control Limits - Pressure Too Low
P228D,Powertrain,Fuel Pressure Regulator 1 Exceeded Control Limits - Pressure Too High
P228E,Powertrain,Fuel Pressure Regulator 1 Exceeded Learning Limits - Too Low
P228F,Powertrain,Fuel Pressure Regulator 1 Exceeded Learning Limits - Too High
P2290,Powertrain,Injector Control Pressure Too Low
P2291,Powertrain,Injector Control Pressure Too Low - Engine Cranking
P2292,Powertrain,Injector Control Pressure Erratic
P2293,Powertrain,Fuel Pressure Regulator 2 Performance
P2294,Powertrain,Fuel Pressure Regulator 2 Control Circuit/Open
P2295,Powertrain,Fuel Pressure Regulator 2 Control Circuit Low
P2296,Powertrain,Fuel Pressure Regulator 2 Control Circuit High
P2297,Powertrain,O2 Sensor Out of Range During Deceleration Bank 1 Sensor 1
P2298,Powertrain,O2 Sensor Out of Range During Deceleration Bank 2 Sensor 1
P2299,Powertrain,Brake Pedal Position/Accelerator Pedal Position Incompatible 
P229A,Powertrain,Fuel Pressure Regulator 2 Exceeded Control Limits - Pressure Too Low
P229B,Powertrain,Fuel Pressure Regulator 2 Exceeded Control Limits - Pressure Too High
P229C,Powertrain,Fuel Pressure Regulator 2 Exceeded Learning Limits - Too Low
P229D,Powertrain,Fuel Pressure Regulator 2 Exceeded Learning Limits - Too High
P2300,Powertrain,Ignition Coil  - Primary Control Circuit Low
P2301,Powertrain,Ignition Coil  - Primary Control Circuit High
P2302,Powertrain,Ignition Coil  - Secondary Circuit
P2303,Powertrain,Ignition Coil  - Primary Control Circuit Low
P2304,Powertrain,Ignition Coil  - Primary Control Circuit High
P2305,Powertrain,Ignition Coil  - Secondary Circuit
P2306,Powertrain,Ignition Coil - Primary Control Circuit Low
P2307,Powertrain,Ignition Coil - Primary Control Circuit High
P2308,Powertrain,Ignition Coil - Secondary Circuit
P2309,Powertrain,Ignition Coil - Primary Control Circuit Low
P2310,Powertrain,Ignition Coil - Primary Control Circuit High
P2311,Powertrain,Ignition Coil - Secondary Circuit
P2312,Powertrain,Ignition Coil - Primary Control Circuit Low
P2313,Powertrain,Ignition Coil - Primary Control Circuit High
P2314,Powertrain,Ignition Coil - Secondary Circuit
P2315,Powertrain,Ignition Coil - Primary Control Circuit Low
P2316,Powertrain,Ignition Coil - Primary Control Circuit High
P2317,Powertrain,Ignition Coil - Secondary Circuit
P2318,Powertrain,Ignition Coil - Primary Control Circuit Low
P2319,Powertrain,Ignition Coil - Primary Control Circuit High
P2320,Powertrain,Ignition Coil - Secondary Circuit
P2321,Powertrain,Ignition Coil - Primary Control Circuit Low
P2322,Powertrain,Ignition Coil - Primary Control Circuit High
P2323,Powertrain,Ignition Coil - Secondary Circuit
P2324,Powertrain,Ignition Coil - Primary Control Circuit Low
P2325,Powertrain,Ignition Coil - Primary Control Circuit High
P2326,Powertrain,Ignition Coil - Secondary Circuit
P2327,Powertrain,Ignition Coil - Primary Control Circuit Low
P2328,Powertrain,Ignition Coil - Primary Control Circuit High
P2329,Powertrain,Ignition Coil - Secondary Circuit
P2330,Powertrain,Ignition Coil - Primary Control Circuit Low
P2331,Powertrain,Ignition Coil - Primary Control Circuit High
P2332,Powertrain,Ignition Coil - Secondary Circuit
P2333,Powertrain,Ignition Coil - Primary Control Circuit Low
P2334,Powertrain,Ignition Coil - Primary Control Circuit High
P2335,Powertrain,Ignition Coil - Secondary Circuit
P2336,Powertrain,Cylinder 1 Above Knock Threshold
P2337,Powertrain,Cylinder 2 Above Knock Threshold
P2338,Powertrain,Cylinder 3 Above Knock Threshold
P2339,Powertrain,Cylinder 4 Above Knock Threshold
P2340,Powertrain,Cylinder 5 Above Knock Threshold
P2341,Powertrain,Cylinder 6 Above Knock Threshold
P2342,Powertrain,Cylinder 7 Above Knock Threshold
P2343,Powertrain,Cylinder 8 Above Knock Threshold
P2344,Powertrain,Cylinder 9 Above Knock Threshold
P2345,Powertrain,Cylinder 10 Above Knock Threshold
P2346,Powertrain,Cylinder 11 Above Knock Threshold
P2347,Powertrain,Cylinder 12 Above Knock Threshold
P2400,Powertrain,Evaporative Emission System Leak Detection Pump Control Circuit/Open 
P2401,Powertrain,Evaporative Emission System Leak Detection Pump Control Circuit Low 
P2402,Powertrain,Evaporative Emission System Leak Detection Pump Control Circuit High 
P2403,Powertrain,Evaporative Emission System Leak Detection Pump Sense Circuit/Open 
P2404,Powertrain,Evaporative Emission System Leak Detection Pump Sense Circuit Range/Performance 
P2405,Powertrain,Evaporative Emission System Leak Detection Pump Sense Circuit Low
P2406,Powertrain,Evaporative Emission System Leak Detection Pump Sense Circuit High
P2407,Powertrain,Evaporative Emission System Leak Detection Pump Sense Circuit Intermittent/Erratic 
P2408,Powertrain,Fuel Cap Sensor/Switch Circuit
P2409,Powertrain,Fuel Cap Sensor/Switch Circuit Range/Performance 
P240A,Powertrain,Evaporative Emission System Leak Detection Pump Heater Control Circuit/Open 
P240B,Powertrain,Evaporative Emission System Leak Detection Pump Heater Control Circuit Low
P240C,Powertrain,Evaporative Emission System Leak Detection Pump Heater Control Circuit High
P2410,Powertrain,Fuel Cap Sensor/Switch Circuit Low
P2411,Powertrain,Fuel Cap Sensor/Switch Circuit High 
P2412,Powertrain,Fuel Cap Sensor/Switch Circuit Intermittent/Erratic
P2413,Powertrain,Exhaust Gas Recirculation System Performance
P2414,Powertrain,O2 Sensor Exhaust Sample Error Bank 1 Sensor 1
P2415,Powertrain,O2 Sensor Exhaust Sample Error Bank 2 Sensor 1
P2416,Powertrain,O2 Sensor Signals Swapped Bank 1 Sensor 2/Bank 1 Sensor 3
P2417,Powertrain,O2 Sensor Signals Swapped Bank 2 Sensor 2/Bank 2 Sensor 3
P2418,Powertrain,Evaporative Emission System Switching Valve Control Circuit/Open 
P2419,Powertrain,Evaporative Emission System Switching Valve Control Circuit Low 
P2420,Powertrain,Evaporative Emission System Switching Valve Control Circuit High 
P2421,Powertrain,Evaporative Emission System Vent Valve Stuck Open
P2422,Powertrain,Evaporative Emission System Vent Valve Stuck Closed 
P2423,Powertrain,HC Adsorption Catalyst Efficiency Below Threshold Bank 1
P2424,Powertrain,HC Adsorption Catalyst Efficiency Below Threshold Bank 2
P2425,Powertrain,Exhaust Gas Recirculation Cooling Valve Control Circuit/Open
P2426,Powertrain,Exhaust Gas Recirculation Cooling Valve Control Circuit Low
P2427,Powertrain,Exhaust Gas Recirculation Cooling Valve Control Circuit High
P2428,Powertrain,Exhaust Gas Temperature Too High Bank 1
P2429,Powertrain,Exhaust Gas Temperature Too High Bank 2
P242A,Powertrain,Exhaust Gas Temperature Sensor Circuit Bank 1 Sensor 3
P242B,Powertrain,Exhaust Gas Temperature Sensor Circuit Range/Performance Bank 1 Sensor 3
P242C,Powertrain,Exhaust Gas Temperature Sensor Circuit Low Bank 1 Sensor 3
P242D,Powertrain,Exhaust Gas Temperature Sensor Circuit High Bank 1 Sensor 3
P242E,Powertrain,Exhaust Gas Temperature Sensor Circuit Intermittent/Erratic Bank 1 Sensor 3
P242F,Powertrain,Diesel Particulate Filter Restriction - Ash Accumulation 
P2430,Powertrain,Secondary Air Injection System Air Flow/Pressure Sensor Circuit Bank 1
P2431,Powertrain,Secondary Air Injection System Air Flow/Pressure Sensor Circuit Range/Performance Bank 1
P2432,Powertrain,Secondary Air Injection System Air Flow/Pressure Sensor Circuit Low Bank 1
P2433,Powertrain,Secondary Air Injection System Air Flow/Pressure Sensor Circuit High Bank 1
P2434,Powertrain,Secondary Air Injection System Air Flow/Pressure Sensor Circuit Intermittent/Erratic Bank 1
P2435,Powertrain,Secondary Air Injection System Air Flow/Pressure Sensor Circuit Bank 2
P2436,Powertrain,Secondary Air Injection System Air Flow/Pressure Sensor Circuit Range/Performance Bank 2
P2437,Powertrain,Secondary Air Injection System Air Flow/Pressure Sensor Circuit Low Bank 2
P2438,Powertrain,Secondary Air Injection System Air Flow/Pressure Sensor Circuit High Bank 2
P2439,Powertrain,Secondary Air Injection System Air Flow/Pressure Sensor Circuit Intermittent/Erratic Bank 2
P2440,Powertrain,Secondary Air Injection System Switching Valve Stuck Open Bank 1
P2441,Powertrain,Secondary Air Injection System Switching Valve Stuck Closed Bank 1
P2442,Powertrain,Secondary Air Injection System Switching Valve Stuck Open Bank 2
P2443,Powertrain,Secondary Air Injection System Switching Valve Stuck Closed Bank 2
P2444,Powertrain,Secondary Air Injection System Pump Stuck On Bank 1
P2445,Powertrain,Secondary Air Injection System Pump Stuck Off Bank 1
P2446,Powertrain,Secondary Air Injection System Pump Stuck On Bank 2
P2447,Powertrain,Secondary Air Injection System Pump Stuck Off Bank 2
P2448,Powertrain,Secondary Air Injection System High Air Flow Bank 1
P2449,Powertrain,Secondary Air Injection System High Air Flow Bank 2
P244A,Powertrain,Diesel Particulate Filter Differential Pressure Too Low Bank 1
P244B,Powertrain,Diesel Particulate Filter Differential Pressure Too High Bank 1
P244C,Powertrain,Exhaust Temperature Too Low For Particulate Filter Regeneration Bank 1
P244D,Powertrain,Exhaust Temperature Too High For Particulate Filter Regeneration Bank 1
P244E,Powertrain,Exhaust Temperature Too Low For Particulate Filter Regeneration Bank 2
P244F,Powertrain,Exhaust Temperature Too High For Particulate Filter Regeneration Bank 2
P2450,Powertrain,Evaporative Emission System Switching Valve Performance/Stuck Open 
P2451,Powertrain,Evaporative Emission System Switching Valve Stuck Closed 
P2452,Powertrain,Diesel Particulate Filter Pressure Sensor  - Circuit
P2453,Powertrain,Diesel Particulate Filter Pressure Sensor  - Circuit Range/Performance
P2454,Powertrain,Diesel Particulate Filter Pressure Sensor  - Circuit Low
P2455,Powertrain,Diesel Particulate Filter Pressure Sensor  - Circuit High 
P2456,Powertrain,Diesel Particulate Filter Pressure Sensor  - Circuit Intermittent/Erratic 
P2457,Powertrain,Exhaust Gas Recirculation Cooling System Performance 
P2458,Powertrain,Diesel Particulate Filter Regeneration Duration 
P2459,Powertrain,Diesel Particulate Filter Regeneration Frequency 
P245A,Powertrain,Exhaust Gas Recirculation Cooler Bypass Control Circuit/Open 
P245B,Powertrain,Exhaust Gas Recirculation Cooler Bypass Control Circuit Range/Performance
P245C,Powertrain,Exhaust Gas Recirculation Cooler Bypass Control Circuit Low
P245D,Powertrain,Exhaust Gas Recirculation Cooler Bypass Control Circuit High
P245E,Powertrain,Diesel Particulate Filter Pressure Sensor  - Circuit 
P245F,Powertrain,Diesel Particulate Filter Pressure Sensor  - Circuit Range/Performance
P2460,Powertrain,Diesel Particulate Filter Pressure Sensor  - Circuit Low 
P2461,Powertrain,Diesel Particulate Filter Pressure Sensor  - Circuit High 
P2462,Powertrain,Diesel Particulate Filter Pressure Sensor  - Circuit Intermittent/Erratic 
P2463,Powertrain,Diesel Particulate Filter Restriction - Soot Accumulation
P2464,Powertrain,Diesel Particulate Filter Differential Pressure Too Low Bank 2
P2465,Powertrain,Diesel Particulate Filter Differential Pressure Too High Bank 2
P2466,Powertrain,Exhaust Gas Temperature Sensor Circuit Bank 2 Sensor 3
P2467,Powertrain,Exhaust Gas Temperature Sensor Circuit Range/Performance Bank 2 Sensor 3
P2468,Powertrain,Exhaust Gas Temperature Sensor Circuit Low Bank 2 Sensor 3
P2469,Powertrain,Exhaust Gas Temperature Sensor Circuit High Bank 2 Sensor 3
P246A,Powertrain,Exhaust Gas Temperature Sensor Circuit Intermittent/Erratic Bank 2 Sensor 3
P246B,Powertrain,Vehicle Conditions Incorrect for Diesel Particulate Filter Regeneration
P246C,Powertrain,Diesel Particulate Filter Restriction - Forced Limited Power
P246D,Powertrain,Diesel Particulate Filter Pressure Sensor   - Correlation
P246E,Powertrain,Exhaust Gas Temperature Sensor Circuit Bank 1 Sensor 4
P246F,Powertrain,Exhaust Gas Temperature Sensor Circuit Range/Performance Bank 1 Sensor 4
P2470,Powertrain,Exhaust Gas Temperature Sensor Circuit Low Bank 1 Sensor 4
P2471,Powertrain,Exhaust Gas Temperature Sensor Circuit High Bank 1 Sensor 4
P2472,Powertrain,Exhaust Gas Temperature Sensor Circuit Intermittent/Erratic Bank 1 Sensor 4
P2473,Powertrain,Exhaust Gas Temperature Sensor Circuit Bank 2 Sensor 4
P2474,Powertrain,Exhaust Gas Temperature Sensor Circuit Range/Performance Bank 2 Sensor 4
P2475,Powertrain,Exhaust Gas Temperature Sensor Circuit Low Bank 2 Sensor 4
P2476,Powertrain,Exhaust Gas Temperature Sensor Circuit High Bank 2 Sensor 4
P2477,Powertrain,Exhaust Gas Temperature Sensor Circuit Intermittent/Erratic Bank 2 Sensor 4
P2478,Powertrain,Exhaust Gas Temperature Out of Range Bank 1 Sensor 1
P2479,Powertrain,Exhaust Gas Temperature Out of Range Bank 1 Sensor 2
P247A,Powertrain,Exhaust Gas Temperature Out of Range Bank 1 Sensor 3
P247B,Powertrain,Exhaust Gas Temperature Out of Range Bank 1 Sensor 4
P247C,Powertrain,Exhaust Gas Temperature Out of Range Bank 2 Sensor 1
P247D,Powertrain,Exhaust Gas Temperature Out of Range Bank 2 Sensor 2
P247E,Powertrain,Exhaust Gas Temperature Out of Range Bank 2 Sensor 3
P247F,Powertrain,Exhaust Gas Temperature Out of Range Bank 2 Sensor 4
P2480,Powertrain,Exhaust Gas Temperature Sensor Circuit/Open Bank 1 Sensor 5
P2481,Powertrain,Exhaust Gas Temperature Sensor Circuit Low Bank 1 Sensor 5
P2482,Powertrain,Exhaust Gas Temperature Sensor Circuit High Bank 1 Sensor 5
P2483,Powertrain,Exhaust Gas Temperature Sensor Circuit Range/Performance Bank 1 Sensor 5
P2484,Powertrain,Exhaust Gas Temperature Sensor Circuit Intermittent/Erratic Bank 1 Sensor 5
P2485,Powertrain,Exhaust Gas Temperature Sensor Circuit/Open Bank 2 Sensor 5
P2486,Powertrain,Exhaust Gas Temperature Sensor Circuit Low Bank 2 Sensor 5
P2487,Powertrain,Exhaust Gas Temperature Sensor Circuit High Bank 2 Sensor 5
P2488,Powertrain,Exhaust Gas Temperature Sensor Circuit Range/Performance Bank 2 Sensor 5
P2489,Powertrain,Exhaust Gas Temperature Sensor Circuit Intermittent/Erratic Bank 2 Sensor 5
P2500,Powertrain,Generator Lamp/L-Terminal Circuit Low 
P2501,Powertrain,Generator Lamp/L-Terminal Circuit High
P2502,Powertrain,Charging System Voltage 
P2503,Powertrain,Charging System Voltage Low
P2504,Powertrain,Charging System Voltage High 
P2505,Powertrain,ECM/PCM Power Input Signal
P2506,Powertrain,ECM/PCM Power Input Signal Range/Performance
P2507,Powertrain,ECM/PCM Power Input Signal Low
P2508,Powertrain,ECM/PCM Power Input Signal High
P2509,Powertrain,ECM/PCM Power Input Signal Intermittent
P250A,Powertrain,Engine Oil Level Sensor Circuit 
P250B,Powertrain,Engine Oil Level Sensor Circuit Range/Performance
P250C,Powertrain,Engine Oil Level Sensor Circuit Low
P250D,Powertrain,Engine Oil Level Sensor Circuit High 
P250E,Powertrain,Engine Oil Level Sensor Circuit Intermittent/Erratic
P250F,Powertrain,Engine Oil Level Too Low
P2510,Powertrain,ECM/PCM Power Relay Sense Circuit Range/Performance
P2511,Powertrain,ECM/PCM Power Relay Sense Circuit Intermittent
P2512,Powertrain,Event Data Recorder Request Circuit/ Open
P2513,Powertrain,Event Data Recorder Request Circuit Low
P2514,Powertrain,Event Data Recorder Request Circuit High 
P2515,Powertrain,A/C Refrigerant Pressure Sensor  - Circuit
P2516,Powertrain,A/C Refrigerant Pressure Sensor  - Circuit Range/Performance
P2517,Powertrain,A/C Refrigerant Pressure Sensor  - Circuit Low
P2518,Powertrain,A/C Refrigerant Pressure Sensor  - Circuit High
P2519,Powertrain,A/C Request  - Circuit
P251A,Powertrain,PTO Enable Switch Circuit/Open
P251B,Powertrain,PTO Enable Switch Circuit Low
P251C,Powertrain,PTO Enable Switch Circuit High 
P251D,Powertrain,PTO Engine Shutdown Circuit/Open
P251E,Powertrain,PTO Engine Shutdown Circuit Low 
P251F,Powertrain,PTO Engine Shutdown Circuit High 
P2520,Powertrain,A/C Request  - Circuit Low 
P2521,Powertrain,A/C Request  - Circuit High
P2522,Powertrain,A/C Request  - Circuit
P2523,Powertrain,A/C Request  - Circuit Low
P2524,Powertrain,A/C Request  - Circuit High
P2525,Powertrain,Vacuum Reservoir Pressure Sensor Circuit 
P2526,Powertrain,Vacuum Reservoir Pressure Sensor Circuit Range/Performance 
P2527,Powertrain,Vacuum Reservoir Pressure Sensor Circuit Low 
P2528,Powertrain,Vacuum Reservoir Pressure Sensor Circuit High
P2529,Powertrain,Vacuum Reservoir Pressure Sensor Circuit Intermittent
P252A,Powertrain,Engine Oil Quality Sensor Circuit
P252B,Powertrain,Engine Oil Quality Sensor Circuit Range/Performance
P252C,Powertrain,Engine Oil Quality Sensor Circuit Low
P252D,Powertrain,Engine Oil Quality Sensor Circuit High
P252E,Powertrain,Engine Oil Quality Circuit Intermittent/Erratic
P252F,Powertrain,Engine Oil Level Too High
P2530,Powertrain,Ignition Switch Run Position Circuit
P2531,Powertrain,Ignition Switch Run Position Circuit Low
P2532,Powertrain,Ignition Switch Run Position Circuit High 
P2533,Powertrain,Ignition Switch Run/Start Position Circuit
P2534,Powertrain,Ignition Switch Run/Start Position Circuit Low
P2535,Powertrain,Ignition Switch Run/Start Position Circuit High
P2536,Powertrain,Ignition Switch Accessory Position Circuit
P2537,Powertrain,Ignition Switch Accessory Position Circuit Low
P2538,Powertrain,Ignition Switch Accessory Position Circuit High
P2539,Powertrain,Low Pressure Fuel System Sensor Circuit 
P253A,Powertrain,PTO Sense Circuit/Open
P253B,Powertrain,PTO Sense Circuit Range/Performance 
P253C,Powertrain,PTO Sense Circuit Low
P253D,Powertrain,PTO Sense Circuit High
P253E,Powertrain,PTO Sense Circuit Intermittent/Erratic 
P253F,Powertrain,Engine Oil Deteriorated 
P2540,Powertrain,Low Pressure Fuel System Sensor Circuit Range/Performance
P2541,Powertrain,Low Pressure Fuel System Sensor Circuit Low
P2542,Powertrain,Low Pressure Fuel System Sensor Circuit High 
P2543,Powertrain,Low Pressure Fuel System Sensor Circuit Intermittent
P2544,Powertrain,Torque Management Request Input Signal  - 
P2545,Powertrain,Torque Management Request Input Signal  - Range/Performance
P2546,Powertrain,Torque Management Request Input Signal  - Low
P2547,Powertrain,Torque Management Request Input Signal  - High 
P2548,Powertrain,Torque Management Request Input Signal  - 
P2549,Powertrain,Torque Management Request Input Signal  - Range/Performance 
P254A,Powertrain,PTO Speed Selector Sensor/Switch 1 Circuit/Open
P254B,Powertrain,PTO Speed Selector Sensor/Switch 1 Range/Performance
P254C,Powertrain,PTO Speed Selector Sensor/Switch 1 Circuit Low
P254D,Powertrain,PTO Speed Selector Sensor/Switch 1 Circuit High
P254E,Powertrain,PTO Speed Selector Sensor/Switch 1 Circuit Intermittent/Erratic
P254F,Powertrain,Engine Hood Switch Circuit 
P2550,Powertrain,Torque Management Request Input Signal  - Low
P2551,Powertrain,Torque Management Request Input Signal  - High
P2552,Powertrain,Throttle/Fuel Inhibit Circuit
P2553,Powertrain,Throttle/Fuel Inhibit Circuit Range/Performance 
P2554,Powertrain,Throttle/Fuel Inhibit Circuit Low
P2555,Powertrain,Throttle/Fuel Inhibit Circuit High 
P2556,Powertrain,Engine Coolant Level Sensor/Switch Circuit
P2557,Powertrain,Engine Coolant Level Sensor/Switch Circuit Range/Performance
P2558,Powertrain,Engine Coolant Level Sensor/Switch Circuit Low
P2559,Powertrain,Engine Coolant Level Sensor/Switch Circuit High
P255A,Powertrain,PTO Speed Selector Sensor/Switch 2 Circuit/Open
P255B,Powertrain,PTO Speed Selector Sensor/Switch 2 Range/Performance
P255C,Powertrain,PTO Speed Selector Sensor/Switch 2 Circuit Low
P255D,Powertrain,PTO Speed Selector Sensor/Switch 2 Circuit High
P255E,Powertrain,PTO Speed Selector Sensor/Switch 2 Circuit Intermittent/Erratic
P255F,Powertrain,A/C Request  - Circuit Range/Performance 
P2560,Powertrain,Engine Coolant Level Low 
P2561,Powertrain,A/C Control Module Requested MIL Illumination
P2562,Powertrain,Turbocharger Boost Control Position Sensor  - Circuit
P2563,Powertrain,Turbocharger Boost Control Position Sensor  - Circuit Range/Performance 
P2564,Powertrain,Turbocharger Boost Control Position Sensor  - Circuit Low
P2565,Powertrain,Turbocharger Boost Control Position Sensor  - Circuit High
P2566,Powertrain,Turbocharger Boost Control Position Sensor  - Circuit Intermittent
P2567,Powertrain,Direct Ozone Reduction Catalyst Temperature Sensor Circuit
P2568,Powertrain,Direct Ozone Reduction Catalyst Temperature Sensor Circuit Range/Performance 
P2569,Powertrain,Direct Ozone Reduction Catalyst Temperature Sensor Circuit Low
P256A,Powertrain,Engine Idle Speed Selector Sensor/Switch Circuit/Open
P256B,Powertrain,Engine Idle Speed Selector Sensor/Switch Range/Performance 
P256C,Powertrain,Engine Idle Speed Selector Sensor/Switch Circuit Low
P256D,Powertrain,Engine Idle Speed Selector Sensor/Switch Circuit High 
P256E,Powertrain,Engine Idle Speed Selector Sensor/Switch Circuit Intermittent/Erratic 
P256F,Powertrain,A/C Request  - Circuit Range/Performance 
P2570,Powertrain,Direct Ozone Reduction Catalyst Temperature Sensor Circuit High
P2571,Powertrain,Direct Ozone Reduction Catalyst Temperature Sensor Circuit Intermittent/Erratic
P2572,Powertrain,Direct Ozone Reduction Catalyst Deterioration Sensor Circuit
P2573,Powertrain,Direct Ozone Reduction Catalyst Deterioration Sensor Circuit Range/Performance
P2574,Powertrain,Direct Ozone Reduction Catalyst Deterioration Sensor Circuit Low
P2575,Powertrain,Direct Ozone Reduction Catalyst Deterioration Sensor Circuit High
P2576,Powertrain,Direct Ozone Reduction Catalyst Deterioration Sensor Circuit Intermittent/Erratic
P2577,Powertrain,Direct Ozone Reduction Catalyst Efficiency Below Threshold
P2578,Powertrain,Turbocharger Speed Sensor Circuit 
P2579,Powertrain,Turbocharger Speed Sensor Circuit Range/Performance 
P257A,Powertrain,Vacuum Reservoir Control Circuit/Open 
P257B,Powertrain,Vacuum Reservoir Control Circuit Low
P257C,Powertrain,Vacuum Reservoir Control Circuit High 
P257D,Powertrain,Engine Hood Switch Circuit Range/Performance 
P257E,Powertrain,Engine Hood Switch Circuit Low 
P257F,Powertrain,Engine Hood Switch Circuit High
P2580,Powertrain,Turbocharger Speed Sensor Circuit Low 
P2581,Powertrain,Turbocharger Speed Sensor Circuit High
P2582,Powertrain,Turbocharger Speed Sensor Circuit Intermittent 
